ID	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	length	inserts	essentialOrtholog	insertDensity
9791	mRNA_1423	1	scaffold_11	245191	249551	+	9791	Hypothetical Protein	0.626	64	4360	35	0	8.02752293578
9792	mRNA_1424	1	scaffold_11	249851	250206	+	9792	HMMPfam-NUP50 (Nucleoporin 50 kDa)-PF08911	0.6545	1	355	2	0	5.6338028169
9793	mRNA_1425	1	scaffold_11	253226	256985	+	9793	HMMPfam-Protein of unknown function (DUF4449)-PF14613,SUPERFAMILY--SSF55394	0.6364	46	3759	22	0	5.85262037776
9794	mRNA_1426	1	scaffold_11	257287	258707	-	9794	Hypothetical Protein	0.6291	15	1420	8	0	5.6338028169
9795	mRNA_1427	1	scaffold_11	258991	261200	+	9795	Hypothetical Protein	0.6321	23	2209	1	0	0.452693526483
9796	mRNA_1428	1	scaffold_11	261983	262469	+	9796	HMMPfam-Protein of unknown function (DUF3237)-PF11578	0.5811	11	486	2	0	4.11522633745
9797	mRNA_1429	1	scaffold_11	262714	263546	+	9797	HMMPfam-Protein of unknown function (DUF3237)-PF11578	0.617	5	832	5	0	6.00961538462
9798	mRNA_1430	1	scaffold_11	264327	265821	-	9798	KOG4205 RNA-binding protein musashi/mRNA cleavage and polyadenylation factor I complex, subunit HRP1	0.6268	22	1494	16	0	10.7095046854
9799	mRNA_1431	1	scaffold_11	266080	266508	-	9799	Hypothetical Protein	0.6014	4	428	10	0	23.3644859813
9800	mRNA_1432	1	scaffold_11	267491	268796	-	9800	K01653 E2.2.1.6S, ilvH, ilvN acetolactate synthase I/III small subunit	0.6378	18	1305	9	0	6.89655172414
9801	mRNA_1433	1	scaffold_11	269247	270588	-	9801	K17081 PHB2 prohibitin 2	0.6177	13	1341	17	0	12.6771066368
9802	mRNA_1434	1	scaffold_11	270891	274299	+	9802	Hypothetical Protein	0.6278	41	3408	21	0	6.16197183099
9803	mRNA_1435	1	scaffold_11	274509	275627	+	9803	Hypothetical Protein	0.6157	17	1118	3	0	2.68336314848
9804	mRNA_1436	1	scaffold_11	275980	277394	+	9804	BLAST Stil protein [Mus musculus]	0.6502	14	1414	10	0	7.07213578501
9805	mRNA_1437	1	scaffold_11	277575	279045	-	9805	K01526 E3.6.1.42 guanosine-diphosphatase	0.6241	15	1470	10	0	6.80272108844
9806	mRNA_1438	1	scaffold_11	280347	281494	+	9806	Hypothetical Protein	0.6141	14	1147	19	0	16.5649520488
9807	mRNA_1439	1	scaffold_11	281812	284553	+	9807	K03544 clpX, CLPX ATP-dependent Clp protease ATP-binding subunit ClpX	0.6204	29	2741	33	0	12.0394016782
9808	mRNA_1440	1	scaffold_11	284752	285459	-	9808	Hypothetical Protein	0.6201	8	707	7	0	9.90099009901
9809	mRNA_1441	1	scaffold_11	285760	287814	-	9809	K17871 ndh1 NADH-ubiquinone reductase (non-electrogenic)	0.5937	29	2054	22	0	10.7108081792
9810	mRNA_1442	1	scaffold_11	288246	290884	-	9810	K03549 kup KUP system potassium uptake protein	0.6317	34	2638	35	0	13.2676269901
9811	mRNA_1443	1	scaffold_11	292058	293115	-	9811	Hypothetical Protein	0.6522	5	1057	20	0	18.9214758751
9812	mRNA_1444	1	scaffold_11	294219	295156	+	9812	KOG4173 Alpha-SNAP protein	0.6194	15	937	8	0	8.537886873
9813	mRNA_1445	1	scaffold_11	295295	301799	-	9813	K20045 ITSN intersectin	0.6453	65	6504	53	0	8.14883148831
9814	mRNA_1446	1	scaffold_11	303145	306587	+	9814	BLAST Mucin-17 [Rhizoctonia solani]	0.6445	42	3442	31	0	9.00639163277
9815	mRNA_1447	1	scaffold_11	307275	311482	+	9815	ProSiteProfiles-Src homology 3 (SH3) domain profile.-PS50002,SMART-Src homology 3 domains-SM00326,SUPERFAMILY--SSF50044	0.6602	26	4207	38	0	9.032564773
9816	mRNA_1448	1	scaffold_11	313855	315152	+	9816	KOG4159 Predicted E3 ubiquitin ligase	0.6333	13	1297	10	0	7.7101002313
9817	mRNA_1449	1	scaffold_11	315530	317378	-	9817	K03325 TC.ACR3 arsenite transporter, ACR3 family	0.6111	18	1848	25	0	13.5281385281
9818	mRNA_1450	1	scaffold_11	317721	321691	+	9818	K20826 RPAP1 RNA polymerase II-associated protein 1	0.6467	35	3970	6	0	1.51133501259
9819	mRNA_1451	1	scaffold_11	321832	325764	-	9819	K11987 PTGS2, COX2 prostaglandin-endoperoxide synthase 2	0.6204	44	3932	26	0	6.61241098678
9820	mRNA_1452	1	scaffold_11	326244	328401	-	9820	K07241 nixA high-affinity nickel-transport protein	0.6117	32	2157	9	0	4.17246175243
9821	mRNA_1453	1	scaffold_11	328591	330027	-	9821	HMMPfam-G-patch domain-PF01585,ProSiteProfiles-G-patch domain profile.-PS50174,SMART-glycine rich nucleic binding domain-SM00443	0.6326	16	1436	9	0	6.26740947075
9822	mRNA_1454	1	scaffold_11	330186	331593	+	9822	K11390 CLYBL citrate lyase subunit beta-like protein	0.5859	21	1407	9	0	6.39658848614
9823	mRNA_1455	1	scaffold_11	331786	334001	-	9823	BLAST patatin-like phospholipase domain protein [Rhizoctoni...	0.6178	16	2215	26	0	11.7381489842
9824	mRNA_1456	1	scaffold_11	334621	335519	+	9824	Hypothetical Protein	0.5984	11	898	8	0	8.90868596882
9825	mRNA_1457	1	scaffold_11	336305	339274	-	9825	K00549 metE 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	0.6296	37	2969	25	1	8.42034355002
9826	mRNA_1458	1	scaffold_11	339999	342727	+	9826	K17775 MDM34, MMM2 mitochondrial distribution and morphology protein 34	0.631	32	2728	7	1	2.56598240469
9827	mRNA_1459	1	scaffold_11	342894	344123	-	9827	HMMPfam-F-box-like-PF12937,ProSiteProfiles-F-box domain profile.-PS50181,SMART-A Receptor for Ubiquitination Targets-SM00256,SUPERFAMILY--SSF52047,SUPERFAMILY--SSF81383	0.6293	9	1229	20	0	16.2733930024
9828	mRNA_1460	1	scaffold_11	344701	345995	+	9828	K06911 K06911 uncharacterized protein	0.5954	16	1294	15	0	11.5919629057
9829	mRNA_1461	1	scaffold_11	346696	347592	+	9829	K02503 HINT1, hinT, hit histidine triad (HIT) family protein	0.5897	10	896	8	0	8.92857142857
9830	mRNA_1462	1	scaffold_11	347942	349022	-	9830	K01764 E4.4.1.17 cytochrome c heme-lyase	0.6272	11	1080	2	0	1.85185185185
9831	mRNA_1463	1	scaffold_11	349259	351388	+	9831	K08850 AURKX aurora kinase, other	0.6028	32	2129	0	1	0.0
9832	mRNA_1464	1	scaffold_11	351662	352112	-	9832	BLAST conidiation protein Con-6, putative [Aspergillus ...	0.6364	10	450	2	0	4.44444444444
9833	mRNA_1465	1	scaffold_11	352394	352564	-	9833	Hypothetical Protein	0.5731	2	170	3	0	17.6470588235
9834	mRNA_1466	1	scaffold_11	352655	354087	+	9834	BLAST putative catalytic domain thiamin pyrophosphokinase [...	0.6518	30	1432	11	0	7.68156424581
9835	mRNA_1467	1	scaffold_11	354447	358959	+	9835	HMMPfam-Mannosyl oligosaccharide glucosidase-PF03200,SUPERFAMILY--SSF48208	0.637	56	4512	44	0	9.75177304965
9836	mRNA_1468	1	scaffold_11	360687	364959	-	9836	HMMPfam-Fungal Zn(2)-Cys(6) binuclear cluster domain-PF00172,HMMPfam-Fungal specific transcription factor domain-PF04082,ProSitePatterns-Zn(2)-C6 fungal-type DNA-binding domain signature.-PS00463,ProSiteProfiles-Zn(2)-C6 fungal-type DNA-binding domain profile.-PS50048,SMART-GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain-SM00066,SMART-Fungal specific transcription factor domain-SM00906,SUPERFAMILY--SSF57701	0.634	44	4272	23	0	5.38389513109
9837	mRNA_1469	1	scaffold_11	366449	367493	+	9837	KOG1200 Mitochondrial/plastidial beta-ketoacyl-ACP reductase	0.6354	12	1044	8	0	7.66283524904
9838	mRNA_1470	1	scaffold_11	368201	370453	+	9838	K18592 GGT1_5, CD224 gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase	0.6152	34	2252	12	1	5.32859680284
9839	mRNA_1471	1	scaffold_11	370707	382935	-	9839	K08874 TRRAP transformation/transcription domain-associated protein	0.6306	121	12228	8	1	0.654236179261
9840	mRNA_1472	1	scaffold_11	383411	384622	+	9840	HMMPfam-Zinc finger, C3HC4 type (RING finger)-PF00097,ProSitePatterns-Zinc finger RING-type signature.-PS00518,SMART-Ring finger-SM00184,SUPERFAMILY--SSF57850	0.6584	16	1211	7	0	5.78034682081
9841	mRNA_1473	1	scaffold_11	385086	387836	-	9841	KOG0254 Predicted transporter (major facilitator superfamily)	0.6049	36	2750	44	0	16.0
9842	mRNA_1474	1	scaffold_11	388451	391356	-	9842	Hypothetical Protein	0.6466	27	2905	27	0	9.29432013769
9843	mRNA_1475	1	scaffold_11	391835	393525	+	9843	K07374 TUBA tubulin alpha	0.6399	14	1690	1	1	0.591715976331
9844	mRNA_1476	1	scaffold_11	396388	397424	-	9844	Hypothetical Protein	0.5998	22	1036	30	0	28.9575289575
9845	mRNA_1477	1	scaffold_11	397872	399169	-	9845	Hypothetical Protein	0.5855	21	1297	38	0	29.298380879
9846	mRNA_1478	1	scaffold_11	399796	400850	+	9846	Hypothetical Protein	0.6095	13	1054	8	0	7.59013282732
9847	mRNA_1479	1	scaffold_11	401327	402379	+	9847	ProSiteProfiles-RNase H domain profile.-PS50879,SUPERFAMILY--SSF53098	0.6486	6	1052	9	0	8.55513307985
9848	mRNA_1480	1	scaffold_11	403503	404169	+	9848	KOG0254 Predicted transporter (major facilitator superfamily)	0.5937	6	666	4	0	6.00600600601
9849	mRNA_1481	1	scaffold_11	404296	404872	-	9849	Hypothetical Protein	0.6534	3	576	2	0	3.47222222222
9850	mRNA_1482	1	scaffold_11	409012	409512	+	9850	BLAST zn -c6 transcription factor [Malassezia pachyderm...	0.5649	10	500	9	0	18.0
9851	mRNA_1483	1	scaffold_11	409791	410399	+	9851	BLAST Protein priB [Grifola frondosa]	0.5961	8	608	6	0	9.86842105263
9852	mRNA_1484	1	scaffold_11	410749	412587	-	9852	HMMPfam-Cation efflux family-PF01545,SUPERFAMILY--SSF161111	0.6232	28	1838	26	0	14.1458106638
9853	mRNA_1485	1	scaffold_11	412872	413936	+	9853	HMMPfam-WW domain-PF00397,ProSitePatterns-WW/rsp5/WWP domain signature.-PS01159,ProSiteProfiles-WW/rsp5/WWP domain profile.-PS50020,SMART-Domain with 2 conserved Trp (W) residues-SM00456,SUPERFAMILY--SSF51045	0.6216	18	1064	16	0	15.037593985
9854	mRNA_1486	1	scaffold_11	414021	419409	-	9854	K11085 msbA ATP-binding cassette, subfamily B, bacterial MsbA	0.6291	65	5388	70	0	12.9918337045
9855	mRNA_1487	1	scaffold_11	420051	423071	+	9855	K01883 CARS, cysS cysteinyl-tRNA synthetase	0.6097	37	3020	2	1	0.662251655629
9856	mRNA_1488	1	scaffold_11	423330	427670	-	9856	K15371 GDH2 glutamate dehydrogenase	0.6107	70	4340	67	0	15.4377880184
9857	mRNA_1489	1	scaffold_11	428243	429095	-	9857	K09022 ridA, tdcF 2-iminobutanoate/2-iminopropanoate deaminase	0.6143	6	852	13	1	15.2582159624
9858	mRNA_1490	1	scaffold_11	429512	431122	-	9858	ProSiteProfiles-Zn(2)-C6 fungal-type DNA-binding domain profile.-PS50048,SUPERFAMILY--SSF57701	0.6269	25	1610	24	0	14.9068322981
9859	mRNA_1491	1	scaffold_11	432599	433571	+	9859	K04513 RHOA Ras homolog gene family, member A	0.6166	10	972	2	1	2.05761316872
9860	mRNA_1492	1	scaffold_11	434341	437683	+	9860	K12855 PRPF6, PRP6 pre-mRNA-processing factor 6	0.618	32	3342	1	1	0.299222022741
9861	mRNA_1493	1	scaffold_11	437821	440939	-	9861	KOG1981 SOK1 kinase belonging to the STE20/SPS1/GC kinase family	0.6396	27	3118	24	0	7.69724182168
9862	mRNA_1494	1	scaffold_11	443115	444117	+	9862	HMMPfam-Haloacid dehalogenase-like hydrolase-PF13419,SUPERFAMILY--SSF56784	0.6152	11	1002	6	0	5.9880239521
9863	mRNA_1495	1	scaffold_11	444439	447391	+	9863	Hypothetical Protein	0.6465	36	2952	25	0	8.46883468835
9864	mRNA_1496	1	scaffold_11	447917	450188	+	9864	HMMPfam-Major Facilitator Superfamily-PF07690,PRINTS-Tetracycline resistance protein TetB signature-PR01036,ProSiteProfiles-Major facilitator superfamily (MFS) profile.-PS50850,SUPERFAMILY--SSF103473	0.6109	33	2271	18	0	7.92602377807
9865	mRNA_1497	1	scaffold_11	450422	453504	-	9865	HMMPfam-Fungal Zn(2)-Cys(6) binuclear cluster domain-PF00172,ProSitePatterns-Zn(2)-C6 fungal-type DNA-binding domain signature.-PS00463,ProSiteProfiles-Zn(2)-C6 fungal-type DNA-binding domain profile.-PS50048,SMART-GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain-SM00066,SUPERFAMILY--SSF57701	0.6309	39	3082	52	0	16.8721609345
9866	mRNA_1498	1	scaffold_11	454122	455195	-	9866	K11129 NHP2, NOLA2 H/ACA ribonucleoprotein complex subunit 2	0.6108	12	1073	0	1	0.0
9867	mRNA_1499	1	scaffold_11	455664	457570	+	9867	KOG1231 Proteins containing the FAD binding domain	0.6057	41	1906	30	0	15.7397691501
9868	mRNA_1500	1	scaffold_11	458270	459039	+	9868	K05770 TSPO, BZRP benzodiazapine receptor	0.6117	11	769	10	0	13.0039011704
9869	mRNA_1501	1	scaffold_11	459271	459744	-	9869	Hypothetical Protein	0.6245	3	473	29	0	61.310782241
9870	mRNA_1502	1	scaffold_11	460348	464473	+	9870	HMMPfam-Fungal specific transcription factor domain-PF04082,SUPERFAMILY--SSF57701	0.6338	49	4125	48	0	11.6363636364
9871	mRNA_1503	1	scaffold_11	464833	466128	+	9871	Hypothetical Protein	0.6343	7	1295	10	0	7.72200772201
9872	mRNA_1504	1	scaffold_11	466293	467391	+	9872	K11251 H2A histone H2A	0.6542	12	1098	1	0	0.910746812386
9873	mRNA_1505	1	scaffold_11	467466	468083	+	9873	Hypothetical Protein	0.6003	9	617	17	0	27.5526742301
9874	mRNA_1506	1	scaffold_11	468569	469292	+	9874	Hypothetical Protein	0.6188	12	723	2	0	2.76625172891
9875	mRNA_1507	1	scaffold_11	469945	470941	+	9875	HMMPfam-Cupin domain-PF07883,SUPERFAMILY--SSF51182	0.6068	14	996	19	0	19.0763052209
9876	mRNA_1508	1	scaffold_11	471301	473619	-	9876	KOG3140 Predicted membrane protein	0.6348	29	2318	27	0	11.64797239
9877	mRNA_1509	1	scaffold_11	474155	475425	+	9877	KOG1471 Phosphatidylinositol transfer protein SEC14 and related proteins	0.5932	21	1270	10	0	7.87401574803
9878	mRNA_1510	1	scaffold_11	476183	478334	-	9878	KOG2695 WD40 repeat protein	0.6008	34	2151	13	0	6.04370060437
9879	mRNA_1511	1	scaffold_11	478426	481591	+	9879	KOG2136 Transcriptional regulators binding to the GC-rich sequences	0.6153	42	3165	5	0	1.57977883096
9880	mRNA_1512	1	scaffold_11	481811	485314	-	9880	BLAST proteophosphoglycan 5 [Moniliophthora roreri MCA ...	0.6421	31	3503	56	0	15.9862974593
9881	mRNA_1513	1	scaffold_11	485460	486499	+	9881	K13280 SEC11, sipW signal peptidase, endoplasmic reticulum-type	0.5798	18	1039	0	1	0.0
9882	mRNA_1514	1	scaffold_11	486604	488267	-	9882	K07050 AARSD1, ALAX misacylated tRNA(Ala) deacylase	0.6394	19	1663	14	0	8.41852074564
9883	mRNA_1515	1	scaffold_11	488446	491742	-	9883	HMMPfam-Up-regulated During Septation-PF15456,SUPERFAMILY--SSF57997	0.6379	23	3296	41	0	12.4393203883
9884	mRNA_1516	1	scaffold_11	492148	493899	+	9884	BLAST transmembrane ATP-binding protein ABC transporter [Rh...	0.649	15	1751	8	0	4.56881781839
9885	mRNA_1517	1	scaffold_11	494782	496298	+	9885	HMMPfam-Alternative oxidase-PF01786,PIRSF--PIRSF005229	0.586	25	1516	29	0	19.1292875989
9886	mRNA_1518	1	scaffold_11	496923	498027	-	9886	K03521 fixA, etfB electron transfer flavoprotein beta subunit	0.6244	12	1104	6	0	5.4347826087
9887	mRNA_1519	1	scaffold_11	498486	499593	-	9887	K03434 PIGL N-acetylglucosaminylphosphatidylinositol deacetylase	0.6011	22	1107	4	1	3.61336946703
9888	mRNA_1520	1	scaffold_11	499910	501221	+	9888	K00765 hisG ATP phosphoribosyltransferase	0.6235	13	1311	0	1	0.0
9889	mRNA_1521	1	scaffold_11	501491	502163	-	9889	HMMPfam-DNA polymerase delta, subunit 4-PF04081	0.5929	8	672	6	0	8.92857142857
9890	mRNA_1522	1	scaffold_11	502826	504110	-	9890	K06685 MOB1, Mats MOB kinase activator 1	0.5798	24	1284	14	1	10.9034267913
9891	mRNA_1523	1	scaffold_11	504257	504927	+	9891	Hypothetical Protein	0.6095	10	670	15	0	22.3880597015
9892	mRNA_1524	1	scaffold_11	505162	507225	+	9892	K07178 RIOK1 RIO kinase 1	0.6134	27	2063	2	1	0.969461948619
9893	mRNA_1525	1	scaffold_11	507359	512878	-	9893	K08267 RICTOR rapamycin-insensitive companion of mTOR	0.6139	86	5519	5	1	0.90596122486
9894	mRNA_1526	1	scaffold_11	513266	514362	+	9894	K02880 RP-L17e, RPL17 large subunit ribosomal protein L17e	0.619	20	1096	1	1	0.912408759124
9895	mRNA_1527	1	scaffold_11	515504	516509	-	9895	KOG3272 Predicted coiled-coil protein	0.5905	18	1005	5	0	4.97512437811
9896	mRNA_1528	1	scaffold_11	517044	520163	-	9896	K06030 MFN mitofusin	0.6385	26	3119	5	0	1.60307790959
9897	mRNA_1529	1	scaffold_11	520532	522546	-	9897	K12605 CNOT2, NOT2 CCR4-NOT transcription complex subunit 2	0.6481	20	2014	12	1	5.95829195631
9898	mRNA_1530	1	scaffold_11	524538	525796	-	9898	K15296 NAPA, SNAPA, SEC17 alpha-soluble NSF attachment protein	0.6068	18	1258	1	1	0.794912559618
9899	mRNA_1531	1	scaffold_11	526085	527071	+	9899	KOG1852 Cell cycle-associated protein	0.6099	15	986	9	0	9.12778904665
9900	mRNA_1532	1	scaffold_11	527155	528581	-	9900	K00766 trpD anthranilate phosphoribosyltransferase	0.609	17	1426	5	1	3.50631136045
9901	mRNA_1533	1	scaffold_11	528782	530057	+	9901	K04649 HIP2, UBC1 ubiquitin-conjugating enzyme (huntingtin interacting protein 2)	0.5807	24	1275	7	1	5.49019607843
9902	mRNA_1534	1	scaffold_11	530272	532362	-	9902	K12493 ARFGAP2_3 ADP-ribosylation factor GTPase-activating protein 2/3	0.6423	21	2090	10	1	4.78468899522
9903	mRNA_1535	1	scaffold_11	532822	534645	+	9903	K12471 EPN epsin	0.6436	20	1823	14	0	7.67964893033
9904	mRNA_1536	1	scaffold_11	534766	537382	-	9904	K19783 HCS1 DNA polymerase alpha-associated DNA helicase A	0.6057	23	2616	20	0	7.64525993884
9905	mRNA_1537	1	scaffold_11	537720	539172	-	9905	K05284 PIGM phosphatidylinositol glycan, class M	0.6235	28	1452	2	1	1.37741046832
9906	mRNA_1538	1	scaffold_11	539427	544024	+	9906	K20307 TRAPPC10, TRS130 trafficking protein particle complex subunit 10	0.6098	75	4597	2	1	0.435066347618
9907	mRNA_1539	1	scaffold_11	544104	545858	-	9907	K13617 PPME1 protein phosphatase methylesterase 1	0.6148	26	1754	17	0	9.6921322691
9908	mRNA_1540	1	scaffold_11	546122	547305	-	9908	K02870 RP-L12e, RPL12 large subunit ribosomal protein L12e	0.6368	10	1183	0	0	0.0
9909	mRNA_1541	1	scaffold_11	549088	551017	+	9909	K14753 RACK1 guanine nucleotide-binding protein subunit beta-2-like 1 protein	0.6207	24	1929	8	1	4.14722654225
9910	mRNA_1542	1	scaffold_11	551474	552455	-	9910	K01834 PGAM, gpmA 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	0.6212	15	981	1	1	1.01936799185
9911	mRNA_1543	1	scaffold_11	552970	553858	-	9911	Hypothetical Protein	0.6389	15	888	7	0	7.88288288288
9912	mRNA_1544	1	scaffold_11	555337	558196	+	9912	K08745 SLC27A1_4, FATP1, FATP4 solute carrier family 27 (fatty acid transporter), member 1/4	0.6098	32	2859	40	0	13.9909059112
9913	mRNA_1545	1	scaffold_11	558416	558832	-	9913	Hypothetical Protein	0.6163	4	416	4	0	9.61538461538
9914	mRNA_1546	1	scaffold_11	559318	562481	+	9914	K18040 PTPN23 tyrosine-protein phosphatase non-receptor type 23	0.646	23	3163	22	1	6.95542206766
9915	mRNA_1547	1	scaffold_11	562585	566021	-	9915	K14402 CPSF2, CFT2 cleavage and polyadenylation specificity factor subunit 2	0.6206	37	3436	1	1	0.291036088475
9916	mRNA_1548	1	scaffold_11	566553	567814	+	9916	K07937 ARF1 ADP-ribosylation factor 1	0.6149	15	1261	0	1	0.0
9917	mRNA_1549	1	scaffold_11	568669	569316	+	9917	BLAST putative TspO/MBR family containing protein [Rhizocto...	0.6296	9	647	8	0	12.3647604328
9918	mRNA_1550	1	scaffold_11	569375	570862	-	9918	HMMPfam-Methyltransferase domain-PF13489,SUPERFAMILY--SSF53335	0.6304	15	1487	12	0	8.06993947545
9919	mRNA_1551	1	scaffold_11	571932	573047	+	9919	HMMPfam-Ferritin-like domain-PF13668,SUPERFAMILY--SSF47240	0.6461	20	1115	18	0	16.1434977578
9920	mRNA_1552	1	scaffold_11	573433	575580	-	9920	K03115 CSNK2B casein kinase II subunit beta	0.6336	25	2147	16	0	7.452258966
9921	mRNA_1553	1	scaffold_11	575685	583746	+	9921	KOG1729 FYVE finger containing protein	0.6428	77	8061	104	0	12.9016251085
9922	mRNA_1554	1	scaffold_11	583831	584732	-	9922	KOG1611 Predicted short chain-type dehydrogenase	0.592	13	901	10	0	11.0987791343
9923	mRNA_1555	1	scaffold_11	585061	586995	+	9923	K18703 SUGCT succinate---hydroxymethylglutarate CoA-transferase	0.6083	30	1934	17	0	8.79007238883
9924	mRNA_1556	1	scaffold_11	587080	588305	-	9924	KOG3114 Uncharacterized conserved protein	0.624	24	1225	9	0	7.34693877551
9925	mRNA_1557	1	scaffold_11	588478	590403	+	9925	HMMPfam-F-box domain-PF00646,ProSiteProfiles-F-box domain profile.-PS50181,SMART-A Receptor for Ubiquitination Targets-SM00256,SUPERFAMILY--SSF81383	0.6101	33	1925	13	0	6.75324675325
9926	mRNA_1558	1	scaffold_11	590667	593724	-	9926	KOG4155 FOG WD40 repeat	0.6046	34	3057	15	0	4.90677134446
9927	mRNA_1559	1	scaffold_11	594333	596246	-	9927	Hypothetical Protein	0.6186	22	1913	8	0	4.1819132253
9928	mRNA_1560	1	scaffold_11	596443	598270	-	9928	HMMPfam-Bromodomain-PF00439,ProSiteProfiles-Bromodomain profile.-PS50014,SMART-bromo domain-SM00297,SUPERFAMILY--SSF47370	0.605	21	1827	22	0	12.0415982485
9929	mRNA_1561	1	scaffold_11	598631	600413	+	9929	K01920 gshB, GSS glutathione synthase	0.6197	30	1782	0	1	0.0
9930	mRNA_1562	1	scaffold_11	600647	601701	-	9930	K17770 TOM20 mitochondrial import receptor subunit TOM20	0.6474	7	1054	3	1	2.84629981025
9931	mRNA_1563	1	scaffold_11	602308	602781	+	9931	Hypothetical Protein	0.6181	6	473	1	0	2.11416490486
9932	mRNA_1564	1	scaffold_11	602945	603352	-	9932	Hypothetical Protein	0.6103	6	407	1	0	2.457002457
9933	mRNA_1565	1	scaffold_11	604614	609512	-	9933	KOG1860 Nuclear protein export factor	0.6391	53	4898	1	1	0.204164965292
9934	mRNA_1566	1	scaffold_11	610347	612663	+	9934	Hypothetical Protein	0.6547	22	2316	13	0	5.61312607945
9935	mRNA_1567	1	scaffold_11	612854	615039	-	9935	KOG4129 Exopolyphosphatases and related proteins	0.6144	23	2185	20	0	9.1533180778
9936	mRNA_1568	1	scaffold_11	615434	616155	-	9936	HMMPfam-F-box domain-PF00646,ProSiteProfiles-F-box domain profile.-PS50181,SMART-A Receptor for Ubiquitination Targets-SM00256,SUPERFAMILY--SSF81383	0.5748	7	721	3	0	4.16088765603
9937	mRNA_1569	1	scaffold_11	616331	617555	+	9937	KOG3114 Uncharacterized conserved protein	0.6147	29	1224	8	0	6.53594771242
9938	mRNA_1570	1	scaffold_11	617747	619889	-	9938	KOG2533 Permease of the major facilitator superfamily	0.608	39	2142	28	0	13.0718954248
9939	mRNA_1571	1	scaffold_11	620682	623667	-	9939	K03695 clpB ATP-dependent Clp protease ATP-binding subunit ClpB	0.6366	20	2985	22	1	7.37018425461
9940	mRNA_1572	1	scaffold_11	624173	624749	+	9940	K02139 ATPeFF, ATP17 F-type H+-transporting ATPase subunit f	0.6447	8	576	1	0	1.73611111111
9941	mRNA_1573	1	scaffold_11	625284	628967	+	9941	KOG2022 Nuclear transport receptor LGL2 (importin beta superfamily)	0.6094	48	3683	18	0	4.88732011947
9942	mRNA_1574	1	scaffold_11	629129	634398	-	9942	K06867 K06867 uncharacterized protein	0.6602	48	5269	11	0	2.08768267223
9943	mRNA_1575	1	scaffold_11	634965	635420	-	9943	BLAST cipC protein [Aspergillus oryzae RIB40]	0.5526	4	455	14	0	30.7692307692
9944	mRNA_1576	1	scaffold_11	636089	637669	+	9944	KOG0737 AAA+-type ATPase	0.5977	15	1580	10	0	6.32911392405
9945	mRNA_1577	1	scaffold_11	637857	639925	-	9945	K03844 ALG11 alpha-1,2-mannosyltransferase	0.6133	22	2068	0	1	0.0
9946	mRNA_1578	1	scaffold_11	640262	646467	+	9946	K20237 NUD1 protein NUD1	0.6383	48	6205	84	1	13.5374697824
9947	mRNA_1579	1	scaffold_11	648385	649747	-	9947	Hypothetical Protein	0.6427	15	1362	15	0	11.013215859
9948	mRNA_1580	1	scaffold_11	650033	651263	+	9948	BLAST putative protein [Melanopsichium pennsylvanicum 4]	0.6296	21	1230	33	0	26.8292682927
9949	mRNA_1581	1	scaffold_11	651787	652843	+	9949	HMMPfam-Protein of unknown function (DUF3759)-PF12585	0.6235	13	1056	8	0	7.57575757576
9950	mRNA_1582	1	scaffold_11	653441	655468	-	9950	K01381 PEP4 saccharopepsin	0.6198	38	2027	26	0	12.8268376912
9951	mRNA_1583	1	scaffold_11	655631	656397	-	9951	HMMPfam-Mediator complex protein-PF10280	0.6245	9	766	2	0	2.61096605744
9952	mRNA_1584	1	scaffold_11	657031	658127	+	9952	Hypothetical Protein	0.6809	18	1096	1	0	0.912408759124
9953	mRNA_1585	1	scaffold_11	659402	660723	+	9953	K00916 CTK1 CTD kinase subunit alpha	0.6324	20	1321	1	1	0.757002271007
9954	mRNA_1586	1	scaffold_11	660878	663649	-	9954	BLAST ribosomal protein [Moniliophthora roreri MCA 2997]	0.6122	39	2771	2	0	0.721761097077
9955	mRNA_1587	1	scaffold_11	664438	664902	+	9955	HMMPfam-Protein of unknown function (DUF3759)-PF12585	0.6043	3	464	13	0	28.0172413793
9956	mRNA_1588	1	scaffold_11	665210	666583	+	9956	HMMPfam-Domain of unknown function (DUF202)-PF02656	0.6201	17	1373	22	0	16.0233066278
9957	mRNA_1589	1	scaffold_11	666700	668966	-	9957	Hypothetical Protein	0.6211	33	2266	10	0	4.41306266549
9958	mRNA_1590	1	scaffold_11	669702	673169	+	9958	KOG0586 Serine/threonine protein kinase	0.6675	21	3467	21	0	6.05710989328
9959	mRNA_1591	1	scaffold_11	673406	675711	+	9959	K01835 pgm phosphoglucomutase	0.6049	33	2305	30	1	13.0151843818
